defined_class,defined_class_label,chemical,chemical_label,material,material_label,,,,,,,,,,
SRPDIO:1000176,,CHEBI:155924,elemental thorium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000177,,CHEBI:37767,elemental tin,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000178,,CHEBI:155870,elemental titanium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000179,,CHEBI:131925,elemental tungsten,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000180,,CHEBI:50559,elemental uranium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000181,,CHEBI:35171,elemental vanadium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000182,,CHEBI:155925,elemental yttrium,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000183,,CHEBI:37253,elemental zinc,ENVO:00002263,garden soil,,,,,,,,,,
SRPDIO:1000184,,CHEBI:33628,elemental aluminium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000185,,CHEBI:36922,elemental antimony,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000186,,CHEBI:35826,elemental arsenic,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000187,,CHEBI:37134,elemental barium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000188,,CHEBI:33784,elemental beryllium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000189,,CHEBI:85541,elemental bismuth,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000190,,CHEBI:33609,elemental boron,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000191,,CHEBI:37249,elemental cadmium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000192,,CHEBI:155919,elemental caesium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000193,,CHEBI:35155,elemental calcium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000194,,CHEBI:37265,elemental cerium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000195,,CHEBI:155866,elemental chromium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000196,,CHEBI:155865,elemental cobalt,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000197,,CHEBI:37404,elemental copper,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000198,,CHEBI:155920,elemental gallium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000199,,CHEBI:33970,elemental gold,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000200,,CHEBI:37114,elemental indium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000201,,CHEBI:82663,elemental iron,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000202,,CHEBI:155921,elemental lanthanum,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000203,,CHEBI:37193,elemental lead,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000204,,CHEBI:155867,elemental lithium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000205,,CHEBI:33973,elemental magnesium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000206,,CHEBI:35115,elemental manganese,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000207,,CHEBI:35113,elemental mercury,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000208,,CHEBI:37237,elemental molybdenum,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000209,,CHEBI:155868,elemental nickel,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000210,,CHEBI:155922,elemental niobium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000211,,CHEBI:33464,elemental phosphorus,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000212,,CHEBI:37247,elemental potassium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000213,,CHEBI:155923,elemental rubidium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000214,,CHEBI:36904,elemental selenium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000215,,CHEBI:37763,elemental silicon,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000216,,CHEBI:33966,elemental silver,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000217,,CHEBI:37246,elemental sodium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000218,,CHEBI:39131,elemental strontium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000219,,CHEBI:33403,elemental sulfur,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000220,,CHEBI:36660,elemental tellurium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000221,,CHEBI:37113,elemental thallium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000222,,CHEBI:155924,elemental thorium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000223,,CHEBI:37767,elemental tin,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000224,,CHEBI:155870,elemental titanium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000225,,CHEBI:131925,elemental tungsten,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000226,,CHEBI:50559,elemental uranium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000227,,CHEBI:35171,elemental vanadium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000228,,CHEBI:155925,elemental yttrium,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000229,,CHEBI:37253,elemental zinc,ENVO:00002011,fresh water,,,,,,,,,,
SRPDIO:1000230,,CHEBI:33628,elemental aluminium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000231,,CHEBI:36922,elemental antimony,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000232,,CHEBI:35826,elemental arsenic,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000233,,CHEBI:37134,elemental barium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000234,,CHEBI:33784,elemental beryllium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000235,,CHEBI:85541,elemental bismuth,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000236,,CHEBI:33609,elemental boron,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000237,,CHEBI:37249,elemental cadmium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000238,,CHEBI:155919,elemental caesium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000239,,CHEBI:35155,elemental calcium,SRPDIO:0000001,topsoil,,,,,,,,,,
SRPDIO:1000240,,CHEBI:37265,elemental cerium,SRPDIO:0000001,topsoil,,,,,,,,,,
